state;district;REGION_ID;stateName;districtName;stateEurostat
1;0;1;Schleswig-Holstein;Schleswig-Holstein;DEF
1;NA;1;Schleswig-Holstein;Schleswig-Holstein;DEF
2;0;2;Hamburg;Hamburg;DE6
2;NA;2;Hamburg;Hamburg;DE6
3;1;3;Niedersachsen;Niedersachsen;DE9
3;2;3;Niedersachsen;Niedersachsen;DE9
3;3;3;Niedersachsen;Niedersachsen;DE9
3;4;3;Niedersachsen;Niedersachsen;DE9
5;1;51;Nordrhein-Westfalen;Duesseldorf;DEA
5;3;53;Nordrhein-Westfalen;Koeln;DEA
5;5;55;Nordrhein-Westfalen;Muenster;DEA
5;7;57;Nordrhein-Westfalen;Detmold;DEA
5;9;59;Nordrhein-Westfalen;Arnsberg;DEA
6;4;64;Hessen;Darmstadt;DE7
6;5;65;Hessen;Giessen;DE7
6;6;66;Hessen;Kassel;DE7
7;1;7;Rheinland-Pfalz;Rheinland-Pfalz;DEB
7;2;7;Rheinland-Pfalz;Rheinland-Pfalz;DEB
7;3;7;Rheinland-Pfalz;Rheinland-Pfalz;DEB
8;1;81;Baden-Wuerttemberg;Stuttgart;DE1
8;2;82;Baden-Wuerttemberg;Karsruhe;DE1
8;3;83;Baden-Wuerttemberg;Freiburg;DE1
8;4;84;Baden-Wuerttemberg;Tuebingen;DE1
9;1;91;Bayern;Oberbayern;DE2
9;2;92;Bayern;Niederbayern;DE2
9;3;93;Bayern;Oberpfalz;DE2
9;4;94;Bayern;Oberfranken;DE2
9;5;95;Bayern;Mittelfranken;DE2
9;6;96;Bayern;Unterfranken;DE2
9;7;97;Bayern;Schwaben;DE2
10;0;10;Saarland;Saarland;DEC
10;NA;10;Saarland;Saarland;DEC
11;0;11;Berlin;Berlin;DE3
11;1;11;Berlin;Berlin;DE3
11;2;11;Berlin;Berlin;DE3
12;0;12;Brandenburg;Brandenburg;DE4
12;NA;12;Brandenburg;Brandenburg;DE4
13;0;13;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;DE8
13;3;13;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;DE8
13;NA;13;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;DE8
14;1;145;Sachsen;Chemnitz;DED
14;2;146;Sachsen;Dresden;DED
14;3;147;Sachsen;Leipzig;DED
14;5;145;Sachsen;Chemnitz;DED
14;6;146;Sachsen;Dresden;DED
14;7;147;Sachsen;Leipzig;DED
15;0;15;Sachsen-Anhalt;Sachsen-Anhalt;DEE
15;1;15;Sachsen-Anhalt;Sachsen-Anhalt;DEE
15;2;15;Sachsen-Anhalt;Sachsen-Anhalt;DEE
15;3;15;Sachsen-Anhalt;Sachsen-Anhalt;DEE
16;0;16;Thueringen;Thueringen;DEG
16;5;16;Thueringen;Thueringen;DEG
16;NA;16;Thueringen;Thueringen;DEG
